,Year,DonorName,RecipientName,ProjectTitle,PurposeCode,ShortDescription,LongDescription,USD_Disbursement_Defl
11,2019,UNICEF,Nicaragua,STATE INSTITUTIONS - MANAGEMENT AND INTERSECTORIAL,12110,STATE INSTITUTIONS - MANAGEMENT AND INTERSECTORIAL,12110. STATE INSTITUTIONS - MANAGEMENT AND INTERSECTORIAL. STATE INSTITUTIONS - MANAGEMENT AND INTERSECTORIAL. ,0.021
12,2019,Norway,South Sudan,WFP. Emergency food assistance - South Sudan,72040,WFP. EMERGENCY FOOD ASSISTANCE - SOUTH SUDAN,72040. WFP. Emergency food assistance - South Sudan. WFP. EMERGENCY FOOD ASSISTANCE - SOUTH SUDAN. SS01 South Sudan Country Office,0.852408
13,2019,UNICEF,Iraq,HEALTH & NUTRITION POLICY,72010,HEALTH & NUTRITION POLICY,72010. HEALTH & NUTRITION POLICY. HEALTH & NUTRITION POLICY. ,0.005
14,2019,UNICEF,Ethiopia,"004 POLICY, PLANNING & KNOWLEDGE MANAGEM",72010,"004 POLICY, PLANNING & KNOWLEDGE MANAGEM","72010. 004 POLICY, PLANNING & KNOWLEDGE MANAGEM. 004 POLICY, PLANNING & KNOWLEDGE MANAGEM. ",0.115
15,2019,Wellcome Trust,"Bilateral, unspecified",The local immune response in the airways and blood of contacts early after TB exposure determines outcome,12263,THE LOCAL IMMUNE RESPONSE IN THE AIRWAYS AND BLOOD OF CONTACTS EARLY AFTER TB EXPOSURE DETERMINES OUTCOME,"12263. The local immune response in the airways and blood of contacts early after TB exposure determines outcome. THE LOCAL IMMUNE RESPONSE IN THE AIRWAYS AND BLOOD OF CONTACTS EARLY AFTER TB EXPOSURE DETERMINES OUTCOME. Programme: Investigator Award in Science. Description: Most individuals infected with Mycobacterium tuberculosis remain healthy, while a subset only progress to active tuberculosis (TB) disease. Early local immune events following infection in humans, determining the pattern of ensuing host immunity and risk of disease progression, are unknown. We defined a blood transcriptional signature of active TB, absent in the majority of latently exposed asymptomatic individuals and healthy controls, that reflected the extent of radiographic lung disease. I recently demonstrated immunological heterogeneity in the blood transcriptome of a cohort of recent TB contacts. A small proportion expressed a persistent TB signature and subsequently progressed to active TB disease, whereas 50% of contacts who were sensitized to M. tuberculosis infection but did not progress to disease, exhibited a similar, but not identical, transient blood signature, suggesting early local immune responses are critical determinants of outcome from infection. I will now lead a study of TB contacts to detect changes in immune events in the airways early after TB exposure, comparing with TB patients, in a low TB burden setting.The findings I will generate on the local early response to M. tuberculosis infection are critical for developing novel approaches for effective TB control and prevention and the improvement of vaccines.",2.694918
16,2019,Norway,Nepal,"Norec, FK Norway, personnell exchange",13081,"NOREC, FK NORWAY, PERSONNELL EXCHANGE","13081. Norec, FK Norway, personnell exchange. NOREC, FK NORWAY, PERSONNELL EXCHANGE. Developing organizational capacity of gender and sexual minority community organizations in India, Bangladesh and Nepal.",0.045113
17,2019,Norway,Sudan,WFP. Ermegency food assistance,72040,WFP. ERMEGENCY FOOD ASSISTANCE,72040. WFP. Ermegency food assistance. WFP. ERMEGENCY FOOD ASSISTANCE. Sudan Interim Country Strategic Plan (I-CSP) for 2017-2018,1.250199
18,2019,Norway,Uganda,"Norec, FK Norway, personnell exchange",12220,"NOREC, FK NORWAY, PERSONNELL EXCHANGE","12220. Norec, FK Norway, personnell exchange. NOREC, FK NORWAY, PERSONNELL EXCHANGE. Uganda-Kenya exchange for improvement in utilization of primary health care services in marginalized communities",0
19,2019,Norway,Mali,Mali - Breaking down barriers to post abortion care/safe abortion,13020,MALI - BREAKING DOWN BARRIERS TO POST ABORTION CARE/SAFE ABORTION,13020. Mali - Breaking down barriers to post abortion care/safe abortion. MALI - BREAKING DOWN BARRIERS TO POST ABORTION CARE/SAFE ABORTION. Breaking down barriers to post abortion care/safe abortion in Mali,0.140832
20,2019,Norway,"Bilateral, unspecified",DRM Surge capacity annex 11.25,72010,DRM SURGE CAPACITY ANNEX 11.25,72010. DRM Surge capacity annex 11.25. DRM SURGE CAPACITY ANNEX 11.25. Activity sepcialised surge capacity IFRC/ICRC/NSThematic DRM,0.079558
21,2019,UNICEF,Bangladesh,3.6 C4D-ADOLESCENTS AGENTS OF CHANGE,72010,3.6 C4D-ADOLESCENTS AGENTS OF CHANGE,72010. 3.6 C4D-ADOLESCENTS AGENTS OF CHANGE. 3.6 C4D-ADOLESCENTS AGENTS OF CHANGE. ,0.086
22,2019,UNICEF,Malawi,"HEALTH, HIV AND NUTRITION SERVICES",12110,"HEALTH, HIV AND NUTRITION SERVICES","12110. HEALTH, HIV AND NUTRITION SERVICES. HEALTH, HIV AND NUTRITION SERVICES. ",0.009
23,2019,UNICEF,Uganda,"OUTPUT 4.1 EVIDENCE, BUDGET, POLICY AND",72010,"OUTPUT 4.1 EVIDENCE, BUDGET, POLICY AND","72010. OUTPUT 4.1 EVIDENCE, BUDGET, POLICY AND. OUTPUT 4.1 EVIDENCE, BUDGET, POLICY AND. ",0.024
24,2019,UNICEF,Papua New Guinea,NUTRITION SERVICES AND CARE,12110,NUTRITION SERVICES AND CARE,12110. NUTRITION SERVICES AND CARE. NUTRITION SERVICES AND CARE. ,0.014
25,2019,UNICEF,Iraq,ADOLESCENT COMMUNITY DEVELOPMENT,72010,ADOLESCENT COMMUNITY DEVELOPMENT,72010. ADOLESCENT COMMUNITY DEVELOPMENT. ADOLESCENT COMMUNITY DEVELOPMENT. ,0.001
26,2019,UNICEF,Myanmar,MULTI-SECTORAL NUTRITION,72010,MULTI-SECTORAL NUTRITION,72010. MULTI-SECTORAL NUTRITION. MULTI-SECTORAL NUTRITION. ,0.014
27,2019,UNICEF,Madagascar,OP 1 - EFFECTIVE AND EFFICIENT GOVERNANC,72010,OP 1 - EFFECTIVE AND EFFICIENT GOVERNANC,72010. OP 1 - EFFECTIVE AND EFFICIENT GOVERNANC. OP 1 - EFFECTIVE AND EFFICIENT GOVERNANC. ,0.03
28,2019,Canada,Chad,Multi-Country Emergency Food Assistance - World Food Program 2019/Assistance alimentaire d'urgence multi-pays - Programme alimentaire mondial 2019,72040,MULTI-COUNTRY EMERGENCY FOOD ASSISTANCE - WORLD FOOD PROGRAM 2019/ASSISTANCE ALIMENTAIRE D'URGENCE MULTI-PAYS - PROGRAMME ALIMENTAIRE MONDIAL 2019,"72040. Multi-Country Emergency Food Assistance - World Food Program 2019/Assistance alimentaire d'urgence multi-pays - Programme alimentaire mondial 2019. MULTI-COUNTRY EMERGENCY FOOD ASSISTANCE - WORLD FOOD PROGRAM 2019/ASSISTANCE ALIMENTAIRE D'URGENCE MULTI-PAYS - PROGRAMME ALIMENTAIRE MONDIAL 2019. March 2019 - The World Food Programme (WFP) is the United Nations' frontline agency in the fight against hunger. It responds to emergencies, saves lives by quickly getting food to the hungry, and works to help prevent hunger in the future.In humanitarian emergencies, WFP focuses on providing targeted food assistance to reduce acute malnutrition and food insecurity, and to protect livelihoods. As the global lead agency for logistics and emergency telecommunications, WFP also plays a major role in providing common services for the humanitarian community. It transports passengers undertaking humanitarian work, carries light cargo for humanitarian agencies, and carries out emergency medical and security evacuations.Project activities include: (1) distributing food; (2) supplementary feeding for children under five years of age as well as pregnant and lactating women; (3) emergency school feeding programs; (4) vouchers and cash transfers for food; and (5) food for work. With the support of GAC and other donors, WFP is providing emergency food assistance to more than 90 million people facing famine, malnutrition and severe food insecurity. / Mars 2019 - Le Programme alimentaire mondial (PAM) est l'organisme de première ligne des Nations Unies dans la lutte contre la faim. Il intervient en cas d'urgence, sauve des vies en apportant rapidement de la nourriture à ceux qui ont faim et s'efforce de prévenir la faim à l'avenir.Dans les situations d'urgence humanitaire, le PAM s'attached à fournir une aide alimentaire ciblée pour réduire la malnutrition aiguë et l'insécurité alimentaire et pour protéger les moyens de subsistance. En tant qu'organisme chef de file mondial pour la logistique et les télécommunications d'urgence, le PAM joue également un rôle majeur dans la fourniture de services communs à la communauté humanitaire. Il transporte des passagers qui entreprennent des activités humanitaires, transporte des marchandises légères pour le compte d'organismes humanitaires et procède à des évacuations médicales d'urgence et à des évacuations pour des raisons de sécurité.Les activités du projet comprennent : 1) la distribution de nourriture; 2) fournir une alimentation complémentaire aux enfants de moins de cinq ans et aux femmes enceintes et à celles qui allaitent; 3) soutenir les programmes d'alimentation scolaire d'urgence; 4) distribuer des bons d'alimentation et faire des transferts de fonds visant l'achat de vivres; 5) offrir des programmes « vivres contre travail ». Avec l'appui d'AMC et d'autres donateurs, le PAM fournit une aide alimentaire d'urgence à plus de 90 millions de personnes aux prises avec la famine, la malnutrition et une grave insécurité alimentaire.",0.922839
29,2019,Canada,Kenya,How can a gender lens enhance maternal and child health social enterprises in Africa? (IMCHA),12110,HOW CAN A GENDER LENS ENHANCE MATERNAL AND CHILD HEALTH SOCIAL ENTERPRISES IN AFRICA? (IMCHA),"12110. How can a gender lens enhance maternal and child health social enterprises in Africa? (IMCHA). HOW CAN A GENDER LENS ENHANCE MATERNAL AND CHILD HEALTH SOCIAL ENTERPRISES IN AFRICA? (IMCHA). Research shows that high gender inequity translates into poor health for mothers, pregnant women, and children. At the community and individual level, gender inequities and disparities can underlie dimensions of poverty among women. Low socioeconomic status can be associated with high fertility rates, low educational attainment, higher burden of disease, and HIV/AIDS. Gender inequities and disparities also affect access to healthcare services for women and children, particularly in fragile contexts.Social enterprise-based models have great potential to improve maternal and child health (MCH) services and they can also be used to provide an improved source of income for women. A social enterprise is an organization that applies commercial strategies to maximize improvements in human and environmental well-being, such as a cooperative or a community organization. An initial study of social enterprise approaches to MCH care in Africa identified two primary social enterprise models: one based on primary health clinics and one based on mobile community health promoters and sales agents. Gender dynamics played an important role between women and healthcare providers, healthcare providers and social enterprises, and social enterprises and their impact on the individual or community. However, these relationships have not been adequately explored in relation to their impact on maternal and child healthcare services and related outcomes for women and children.The aim of this project, implemented by BRAC Africa, is to improve the understanding of how gender and the social enterprise approach can improve access to maternal and child health services and to outcomes across Africa and globally. The research methodology will include: a systematic literature review and mapping on gender equality, maternal and child health, and social enterprise; a survey to provide basic insight and foundational knowledge into structures and practices; and gender analysis involving both primary and secondary research using key informant interviews and focus group discussions. This will build on an existing IMCHA projects in partnership with BRAC Africa in order to expand the knowledge base about gender equality and social enterprises targeted at improving maternal and child health outcomes as well as identifying practical lessons and promising strategies.This project is funded by the Innovating for Maternal and Child Health in Africa program. It is a seven-year $36 million initiative funded by Global Affairs Canada, IDRC, and the Canadian Institutes of Health Research.",0.03248
30,2019,UNICEF,West Bank and Gaza Strip,3.1 INCREASED CAPACITY TO DEVELOP/IMPLEM,72010,3.1 INCREASED CAPACITY TO DEVELOP/IMPLEM,72010. 3.1 INCREASED CAPACITY TO DEVELOP/IMPLEM. 3.1 INCREASED CAPACITY TO DEVELOP/IMPLEM. ,0.011
31,2019,Canada,Kyrgyzstan,Partnership for Advancing Human Development in Africa and Asia/Partenariat pour le développement humain en Afrique et en Asie,12261,PARTNERSHIP FOR ADVANCING HUMAN DEVELOPMENT IN AFRICA AND ASIA/PARTENARIAT POUR LE DÉVELOPPEMENT HUMAIN EN AFRIQUE ET EN ASIE,"12261. Partnership for Advancing Human Development in Africa and Asia/Partenariat pour le développement humain en Afrique et en Asie. PARTNERSHIP FOR ADVANCING HUMAN DEVELOPMENT IN AFRICA AND ASIA/PARTENARIAT POUR LE DÉVELOPPEMENT HUMAIN EN AFRIQUE ET EN ASIE. The project aims to improve human development outcomes in Africa and Asia through four components: (i) strengthening health systems in Central Asia to ensure that people have access to quality health care and information provided by qualified staff in well-equipped facilities; (ii) strengthening education systems in eastern Africa to improve the quality of education for students at the pre-primary and primary school levels; (iii) improving the ability of civil society organizations in Africa and Asia to promote gender equality, integrate climate change adaptation in their programming, and develop innovative means of helping people improve their livelihoods; and (iv) helping Canadians become more aware of and involved in international development.The project supports a regional approach to strengthening health and education systems by engaging partner agencies of the Aga Khan Development Network in Africa and Asia. It also works in partnership with local governments and civil society organizations. / Le projet vise à améliorer les résultats en matière de développment humain en Afrique et en Asie et il est composé de quatre volets: (i) le renforcement des systèmes de santé en Asie centrale pour assurer que les personnes aient accès à de l'information et des soins de santé de qualité fournis par un personnel qualifié et des installations bien équipées, (ii) le renforcement des systèmes d'éducation en Afrique de l'Est pour améliorer la qualité de l'éducation des élèves du préscolaire et du primaire, (iii) l'amélioration de la capacité des organisations de la société civile en Afrique et en Asie à promouvoir l'égalité entre les sexes et à intégrer l'adaptation au changement climatique dans leur programmation tout en développant des moyens novateurs pour aider les personnes à améliorer leurs moyens de subsistance, (iv) la sensibilisation et la mobilisation accrues des Canadiens au développement international.Le projet soutient une approche régionale pour renforcer les systèmes de santé et d'éducation en engageant les agences partenaires du réseau de développement d'Aga Khan en Afrique et en Asie. Il travaille également en partenariat avec les organisations de la société civile et les gouvernements locaux.",0.006769
32,2019,Canada,Pakistan,Multi-Country - UNICEF Humanitarian Appeals 2019/Pays multiples - Appels humanitaires de l'UNICEF 2019,72010,MULTI-COUNTRY - UNICEF HUMANITARIAN APPEALS 2019/PAYS MULTIPLES - APPELS HUMANITAIRES DE L'UNICEF 2019,"72010. Multi-Country - UNICEF Humanitarian Appeals 2019/Pays multiples - Appels humanitaires de l'UNICEF 2019. MULTI-COUNTRY - UNICEF HUMANITARIAN APPEALS 2019/PAYS MULTIPLES - APPELS HUMANITAIRES DE L'UNICEF 2019. January 2019 - Founded in 1946, the United Nations Children's Fund (UNICEF) is mandated by the United Nation General Assembly to protect the rights of children and women in developing countries through its development and humanitarian assistance programming. UNICEF's mandate in humanitarian situations is to meet the needs of the most vulnerable, to save lives and protect rights.In humanitarian emergencies, UNICEF's project activities include: (1) providing people with access to safe drinking water and sanitation facilities; (2) treating children for severe acute malnutrition; (3) providing emergency education programming for children; (4) ensuring protection services for children and women; and (5) providing basic healthcare. / Janvier 2019 – Fondé en 1946, le Fonds des Nations Unies pour l'enfance (UNICEF) est mandaté par l'Assemblée générale des Nations Unies pour protéger les droits des enfants et des femmes dans les pays en développement par le biais de ses programmes d'aide humanitaire et de développement. En situation d'urgence humanitaire, le mandat d'UNICEF est de répondre aux besoins des plus vulnérables, de sauver des vies et de protéger les droits.Les projets d'assistance humanitaire d'UNICEF incluent les activités suivantes : 1) fournir un accès accru à l'eau potable et aux installations sanitaires; 2) traiter les enfants souffrant de malnutrition aiguë sévère; 3) mettre en œuvre des programmes d'éducation en situation d'urgence pour les enfants; 4) assurer des services de protection pour les enfants et les femmes; 5) fournir des soins de santé de base.",0.010053
